,id,follower,1_@EsteeLauder,2_@dermalogica,3_@Neutrogena,4_@cerave,5_@SkinCeuticals,n_brand_follower
81,194226355,3,0,1,1,0,1,3
82,25092348,3,0,1,1,0,1,3
83,93508251,3,0,1,1,0,1,3
84,16581519,3,1,1,0,0,1,3
85,15369253,3,1,1,0,0,1,3
86,6362172,3,0,1,1,0,1,3
87,42801775,3,1,1,0,0,1,3
88,12887832,3,1,1,0,0,1,3
89,205336406,3,1,1,0,0,1,3
90,30947351,3,1,0,1,0,1,3
91,12891562,3,1,1,0,0,1,3
92,15668861,3,1,1,0,0,1,3
93,14778269,3,1,1,0,0,1,3
94,17801340,3,1,1,0,0,1,3
95,20455625,3,0,1,1,0,1,3
96,29311468,3,0,1,1,0,1,3
97,43386507,3,0,1,0,1,1,3
98,37708300,3,0,1,1,0,1,3
99,14562016,3,0,1,1,0,1,3
100,79904259,3,1,1,0,0,1,3
101,228379737,3,1,1,0,0,1,3
102,19074134,3,0,1,1,0,1,3
103,30704824,3,1,1,0,0,1,3
104,254057168,3,1,0,1,0,1,3
105,16153714,3,1,1,0,0,1,3
106,15706176,3,1,1,0,0,1,3
107,14638974,3,1,1,0,0,1,3
108,64522637,3,1,1,0,0,1,3
109,302068984,3,0,1,1,0,1,3
110,64846516,3,1,0,1,0,1,3
111,148826451,3,1,0,1,0,1,3
112,34357707,3,1,0,1,0,1,3
113,22934008,3,1,1,0,0,1,3
114,35047040,3,0,1,1,0,1,3
115,19776126,3,1,0,0,1,1,3
116,213184382,3,1,1,0,0,1,3
117,17909306,3,1,1,0,0,1,3
118,34507480,3,0,1,1,0,1,3
119,21401466,3,1,1,1,0,0,3
120,807095,3,1,1,0,0,1,3
121,35479533,3,0,1,0,1,1,3
122,296031125,2,0,1,1,0,0,2
123,50028252,2,0,1,1,0,0,2
124,58602756,2,0,0,0,1,1,2
125,17505100,2,0,1,1,0,0,2
126,15162193,2,1,1,0,0,0,2
127,583132258,2,1,1,0,0,0,2
128,25626894,2,1,1,0,0,0,2
129,46186400,2,1,0,0,0,1,2
130,14834900,2,1,1,0,0,0,2
131,522551659,2,0,0,1,0,1,2
132,111966083,2,0,1,0,0,1,2
133,14629186,2,0,1,0,0,1,2
134,581329418,2,0,0,0,1,1,2
135,16824090,2,0,1,1,0,0,2
136,38233352,2,1,1,0,0,0,2
137,18721830,2,0,1,1,0,0,2
138,52592400,2,0,1,0,0,1,2
139,27778893,2,0,1,0,0,1,2
140,15754922,2,0,1,0,0,1,2
141,19212009,2,0,1,1,0,0,2
142,270569066,2,0,1,1,0,0,2
143,25732791,2,0,1,1,0,0,2
144,17219108,2,1,1,0,0,0,2
145,21442110,2,1,1,0,0,0,2
146,24263801,2,0,1,0,0,1,2
147,16096416,2,1,0,0,0,1,2
148,19397785,2,0,1,0,0,1,2
149,14218186,2,0,1,0,0,1,2
150,19594580,2,1,1,0,0,0,2
151,783214,2,0,1,1,0,0,2
152,296632715,2,1,0,0,0,1,2
153,533369596,2,0,0,1,0,1,2
154,1205718840,2,0,0,0,1,1,2
155,44084276,2,0,0,1,0,1,2
156,27844479,2,1,1,0,0,0,2
157,107930490,2,1,1,0,0,0,2
158,1055283865,2,0,0,1,0,1,2
159,14511951,2,1,0,1,0,0,2
160,3235119715,2,0,0,0,1,1,2
161,24973023,2,0,1,0,0,1,2
162,30270360,2,0,1,0,0,1,2
163,78293304,2,1,0,1,0,0,2
164,15692086,2,1,0,0,0,1,2
165,25087685,2,0,0,1,0,1,2
166,320915965,2,0,1,1,0,0,2
167,441292379,2,0,1,0,0,1,2
168,816653,2,1,0,1,0,0,2
169,858197064,2,0,1,1,0,0,2
170,45564482,2,1,0,0,0,1,2
171,15735744,2,0,1,0,0,1,2
172,124219349,2,1,0,1,0,0,2
173,206027972,2,0,0,1,0,1,2
174,15485441,2,0,1,0,0,1,2
175,23972307,2,1,0,0,0,1,2
176,30258447,2,0,0,1,0,1,2
177,36357026,2,0,1,0,0,1,2
178,73499979,2,1,1,0,0,0,2
179,21324258,2,1,0,0,0,1,2
180,16550628,2,1,1,0,0,0,2
181,528066406,2,0,1,1,0,0,2
182,105189289,2,1,1,0,0,0,2
183,19774073,2,0,1,1,0,0,2
184,15566901,2,0,1,1,0,0,2
185,15919502,2,0,1,1,0,0,2
186,19554706,2,0,1,0,0,1,2
187,34312352,2,0,1,0,0,1,2
188,158128894,2,1,1,0,0,0,2
189,637129408,2,0,1,1,0,0,2
190,70435939,2,1,1,0,0,0,2
191,28160998,2,0,1,0,0,1,2
192,31521256,2,0,1,0,1,0,2
193,213927225,2,0,1,1,0,0,2
194,52251346,2,0,1,1,0,0,2
195,1400920897,2,0,0,1,0,1,2
196,19602061,2,0,1,0,0,1,2
197,12701412,2,0,1,0,0,1,2
198,18487669,2,0,0,1,1,0,2
199,31012378,2,0,1,0,1,0,2
200,17328030,2,0,1,1,0,0,2
201,3950477674,2,0,1,0,1,0,2
202,50292966,2,0,1,0,1,0,2
203,26239721,2,0,1,1,0,0,2
204,16704428,2,1,1,0,0,0,2
205,71352734,2,1,0,0,0,1,2
206,55642575,2,0,0,0,1,1,2
207,55678606,2,0,1,0,1,0,2
208,129246852,2,0,1,1,0,0,2
209,16716726,2,1,0,0,1,0,2
210,10112122,2,1,0,0,0,1,2
211,171102859,2,0,1,0,0,1,2
212,64544431,2,0,1,1,0,0,2
213,915124134,2,0,0,1,0,1,2
214,633133683,2,0,0,1,0,1,2
