,id,following,1_@EsteeLauder,2_@dermalogica,3_@Neutrogena,4_@cerave,5_@SkinCeuticals,n_brand_following
67,1149104952276467712,3,1,1,1,0,0,3
68,1540662354308116480,3,0,1,0,1,1,3
69,147484749,3,1,0,0,1,1,3
70,1516948560222240769,3,1,1,0,0,1,3
71,919193397616836609,3,0,0,1,1,1,3
72,1540458541139517440,3,0,1,0,1,1,3
73,1540337460051415040,3,0,1,0,1,1,3
74,1556903368341307392,3,1,0,1,0,1,3
75,1577884694431014914,3,1,1,0,0,1,3
76,1577576051839901696,3,1,1,0,0,1,3
77,1571876445126893575,3,1,1,0,1,0,3
78,1550549328464588800,3,1,0,1,1,0,3
79,1567491297790894081,3,1,1,1,0,0,3
80,1547716708349030401,3,0,0,1,1,1,3
81,2369851928,3,1,1,0,1,0,3
82,1027451011751989248,3,1,1,0,0,1,3
83,501413465,3,0,1,0,1,1,3
84,1535672240074792960,3,1,0,1,1,0,3
85,1475341545113010177,3,1,1,0,0,1,3
86,1556248080986808320,3,1,0,1,0,1,3
87,493328829,3,1,0,1,1,0,3
88,1479311551588753408,3,1,0,1,0,1,3
89,1532646110174617601,3,0,1,0,1,1,3
90,1556320439303131139,3,1,0,1,1,0,3
91,1540117373813923841,3,0,1,0,1,1,3
92,1557940704541757441,3,1,0,0,1,1,3
93,1387636826190581761,2,0,0,1,1,0,2
94,1544298024217763841,2,0,1,0,0,1,2
95,183913388,2,0,0,0,1,1,2
96,1407840668924403713,2,0,1,0,0,1,2
97,1559680352637140992,2,1,0,0,1,0,2
98,1553343565568278529,2,0,0,1,1,0,2
99,1542546503037771776,2,1,0,0,0,1,2
100,1924546194,2,1,0,1,0,0,2
101,1085297867026239489,2,0,0,0,1,1,2
102,1540229491871698945,2,0,1,0,0,1,2
103,1540219658531643392,2,0,1,0,0,1,2
104,1505247874304688128,2,1,0,0,1,0,2
105,1536040970373976065,2,0,1,0,0,1,2
106,1492602082272161803,2,0,1,1,0,0,2
107,1575540364370403328,2,0,1,0,0,1,2
108,1491727438652616707,2,0,1,1,0,0,2
109,1444256758277369859,2,0,1,1,0,0,2
110,2207785940,2,1,0,0,1,0,2
111,1535423185348329475,2,0,1,0,0,1,2
112,3906482486,2,0,1,0,0,1,2
113,1524131087206817792,2,0,1,1,0,0,2
114,544825678,2,1,0,1,0,0,2
115,1569243779046981633,2,1,0,1,0,0,2
116,1542680954996772864,2,1,1,0,0,0,2
117,1515417211216744451,2,0,1,0,0,1,2
118,1550087704607694849,2,1,0,0,1,0,2
119,711610901737119744,2,0,1,0,0,1,2
120,1493679076070068229,2,1,1,0,0,0,2
121,1538262976767176705,2,0,0,0,1,1,2
122,1542299987752755203,2,1,0,0,1,0,2
123,1566617506617384961,2,0,0,0,1,1,2
124,1535462430393790464,2,1,1,0,0,0,2
125,856094147123589120,2,0,0,0,1,1,2
126,1540209227163406337,2,0,1,0,0,1,2
127,1550128157780348929,2,1,0,0,1,0,2
128,1534603519054995467,2,1,0,0,0,1,2
129,289153752,2,1,1,0,0,0,2
130,1481882855236120578,2,0,0,1,1,0,2
131,1536459441968660481,2,0,1,0,0,1,2
132,1536461054565302273,2,0,1,0,0,1,2
133,1567471637628391425,2,0,0,0,1,1,2
134,1540036198684672002,2,0,1,0,0,1,2
135,1531376878463897603,2,0,1,0,1,0,2
136,1488137103896879106,2,1,1,0,0,0,2
137,1560646627895005185,2,1,0,0,0,1,2
138,1421027340889432064,2,1,0,0,1,0,2
139,129651559,2,0,1,1,0,0,2
140,1570695037,2,0,0,1,1,0,2
141,1557923912964513795,2,0,1,0,0,1,2
142,1506597537138057221,2,1,1,0,0,0,2
143,1494856563823161344,2,1,0,1,0,0,2
144,719437784625258496,2,0,1,0,0,1,2
145,1558178497960771584,2,1,0,0,1,0,2
146,1575336561960488961,2,1,0,0,0,1,2
147,1086092498001383424,2,0,1,0,1,0,2
148,1534495246171652098,2,1,0,0,0,1,2
149,1467229756768673795,2,0,1,0,0,1,2
150,1547353977498374146,2,1,0,0,1,0,2
151,339256615,2,0,0,0,1,1,2
152,1555696258685231106,2,1,0,0,1,0,2
153,3968975060,2,0,0,0,1,1,2
154,1410618918146772992,2,0,1,1,0,0,2
155,581566025,2,1,0,0,1,0,2
156,1074388327414067200,2,1,0,1,0,0,2
157,1535496734066892800,2,1,1,0,0,0,2
158,1430429279813345281,2,0,0,1,1,0,2
159,1563614707830837248,2,0,0,1,1,0,2
160,1432227045577162754,2,0,1,0,0,1,2
161,1365042065684455424,2,1,0,0,1,0,2
162,1575150511224938498,2,1,0,0,0,1,2
163,1539721750187053059,2,0,0,0,1,1,2
164,1536354257951199235,2,0,0,0,1,1,2
165,1008047399426842625,2,1,0,0,1,0,2
166,1316825785525702658,2,0,1,0,0,1,2
167,1547093645676920833,2,0,0,0,1,1,2
168,1541437556537323522,2,0,1,0,0,1,2
169,1553025024503779328,2,1,0,0,0,1,2
170,1531980884781551620,2,0,1,0,0,1,2
171,1553043098283958281,2,0,0,0,1,1,2
172,1534609472215293952,2,0,1,0,0,1,2
173,1543744845071646721,2,0,1,0,0,1,2
174,1551467738677272577,2,0,0,1,1,0,2
175,1566416356945297412,2,1,0,0,1,0,2
176,1326055544197582848,2,0,1,1,0,0,2
177,1565741921624006658,2,0,0,0,1,1,2
178,1461145183903535106,2,0,1,0,0,1,2
179,1540434223831580672,2,1,1,0,0,0,2
180,1559466086327881731,2,0,0,1,1,0,2
181,1472108685732241413,2,0,1,1,0,0,2
182,1542222807563509760,2,1,0,0,1,0,2
183,1514110274101460994,2,0,1,0,1,0,2
184,1524843001696030720,2,0,1,0,0,1,2
185,1311551105738788864,2,0,0,1,0,1,2
186,1559520123114987523,2,1,0,0,0,1,2
187,1568448446327132160,2,1,0,0,0,1,2
188,1525188948707926018,2,1,0,0,0,1,2
189,1546598418830835712,2,1,0,0,1,0,2
190,1265659874827960321,2,1,0,0,0,1,2
191,1440239699449106435,2,1,0,0,1,0,2
192,1212168067637116928,2,0,0,1,1,0,2
193,1549295469230231552,2,0,0,0,1,1,2
194,1540546222229819392,2,0,0,0,1,1,2
195,1532825021479100416,2,0,1,0,0,1,2
196,1544180002253549568,2,0,1,0,0,1,2
197,1534455216388587521,2,0,1,0,0,1,2
198,1524006765234618368,2,0,0,0,1,1,2
199,1280486412060672000,2,0,1,0,0,1,2
200,1560706915302313984,2,1,0,0,1,0,2
201,1540339357852356611,2,1,0,1,0,0,2
202,1568722606961860608,2,0,0,0,1,1,2
203,1361744987763978240,2,0,0,0,1,1,2
204,1540328700293664768,2,0,1,0,0,1,2
205,1570199502870429699,2,1,0,0,0,1,2
206,1524058991357276161,2,1,0,1,0,0,2
207,2490892394,2,1,0,0,0,1,2
208,1533035621350100993,2,1,1,0,0,0,2
209,1571703809591709697,2,1,0,0,0,1,2
210,801085980547674112,2,0,0,1,1,0,2
211,1540299596798337029,2,1,1,0,0,0,2
212,1294664378504155141,2,0,1,1,0,0,2
213,707487855606505476,2,1,0,0,0,1,2
214,1508273538725122050,2,0,1,0,0,1,2
215,1348392165563576322,2,0,1,1,0,0,2
216,847451752072855554,2,0,0,0,1,1,2
217,1534500220477837312,2,1,0,0,1,0,2
218,1506333813127135236,2,0,1,0,0,1,2
219,3647906245,2,0,0,0,1,1,2
220,1525877712522465280,2,1,0,0,1,0,2
221,1555698223238582272,2,1,0,0,1,0,2
222,1534899086175920129,2,0,1,0,0,1,2
223,1540394636581212161,2,0,1,0,1,0,2
224,1573474967974453250,2,0,0,1,1,0,2
225,1521205206566023169,2,0,1,0,1,0,2
226,1544662278251085824,2,0,1,0,0,1,2
227,108903624,2,0,1,0,1,0,2
228,1544536554945003520,2,0,1,0,0,1,2
229,1253757981822459904,2,0,1,0,0,1,2
230,1540359583377620994,2,0,0,0,1,1,2
231,1482716373222830082,2,0,1,1,0,0,2
232,1578427838071439362,2,0,0,0,1,1,2
233,1568430018367463424,2,1,0,0,0,1,2
234,33569800,2,0,1,1,0,0,2
235,1555677566027063303,2,0,0,0,1,1,2
236,1562457673311744001,2,1,0,0,0,1,2
237,1510684345450700800,2,0,1,1,0,0,2
238,970177970462576640,2,1,0,0,0,1,2
239,1538785872216301568,2,1,1,0,0,0,2
240,1538814157658677248,2,0,1,0,0,1,2
241,1538803353848782849,2,0,1,0,0,1,2
