created_at,user,id,id_str,full_text,truncated,display_text_range,entities,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,lang,possibly_sensitive,retweeted_status,quoted_status,text,favorited_by,scopes,display_text_width,quoted_status_id,quoted_status_id_str,quoted_status_permalink,quote_count,timestamp_ms,reply_count,filter_level,metadata,query,withheld_scope,withheld_copyright,withheld_in_countries,possibly_sensitive_appealable
2022-09-06T15:32:06Z,cerave,1567173804660588500,1567173804660588544,"@OlayinkaAdewum9 Hi there! Our product prices differ by retailer. We recommend reaching out to your local @Target, @Walgreens, @Walmart or CVS Beauty, or checking online at @amazon for specific product details. Hope this helps! 💙",FALSE,229,,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>",1566118103980834800,1566118103980834818,1259097704153493500,1259097704153493504,OlayinkaAdewum9,,,,NA,FALSE,0,0,FALSE,FALSE,en,NA,,,"@OlayinkaAdewum9 Hi there! Our product prices differ by retailer. We recommend reaching out to your local @Target, @Walgreens, @Walmart or CVS Beauty, or checking online at @amazon for specific product details. Hope this helps! 💙",NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-09-06T15:31:02Z,cerave,1567173535361024e3,1567173535361024000,"@BJesutin Hi, thanks for reaching out! Our product prices differ by retailer. We recommend reaching out to your local @Target, @Walgreens, @Walmart or CVS Beauty, or checking online at @amazon for specific product details 💙",FALSE,223,,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>",1566051737336774700,1566051737336774658,1536251447326781400,1536251447326781442,BJesutin,,,,NA,FALSE,0,1,FALSE,FALSE,en,NA,,,"@BJesutin Hi, thanks for reaching out! Our product prices differ by retailer. We recommend reaching out to your local @Target, @Walgreens, @Walmart or CVS Beauty, or checking online at @amazon for specific product details 💙",NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-09-06T15:13:36Z,cerave,1567169150576984e3,1567169150576984066,@dobledoo2 It's an honor to be part of your skincare routine! 💙,FALSE,63,,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>",1565870856282067e3,1565870856282066944,1490527798355763200,1490527798355763203,dobledoo2,,,,NA,FALSE,0,0,FALSE,FALSE,en,NA,,,@dobledoo2 It's an honor to be part of your skincare routine! 💙,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-09-05T21:58:32Z,cerave,1566908668171505700,1566908668171505664,"@camila_bijoux Hi! CeraVe products can be purchased both in-store and online. To view the latest online availability by retailer and to find the closest in-store retailer near you, use our CeraVe Store Locator on our website!",FALSE,225,,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>",1566870092956045300,1566870092956045313,3307918698,3307918698,camila_bijoux,,,,NA,FALSE,0,1,FALSE,FALSE,en,NA,,,"@camila_bijoux Hi! CeraVe products can be purchased both in-store and online. To view the latest online availability by retailer and to find the closest in-store retailer near you, use our CeraVe Store Locator on our website!",NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-09-05T21:36:14Z,cerave,1566903056297492500,1566903056297492482,"@5za_xx Please share your skin type (dry, oily, combination, or acne-prone) and skin concerns, so we can best assist with product recommendations!",FALSE,146,,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>",1566792575704506400,1566792575704506374,1481647668849885200,1481647668849885187,5za_xx,,,,NA,FALSE,0,0,FALSE,FALSE,en,NA,,,"@5za_xx Please share your skin type (dry, oily, combination, or acne-prone) and skin concerns, so we can best assist with product recommendations!",NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-09-04T14:17:50Z,cerave,1566430339806945300,1566430339806945281,"@Janrolg We appreciate your feedback and will be sure to pass this along to our team! At this time, we do not have a product that will specifically target rosacea. For this skin concern, we suggest reaching out a dermatologist to find out which products/routines are right for you!",FALSE,281,,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>",1566389729557454800,1566389729557454850,143228017,143228017,Janrolg,,,,NA,FALSE,0,1,FALSE,FALSE,en,NA,,,"@Janrolg We appreciate your feedback and will be sure to pass this along to our team! At this time, we do not have a product that will specifically target rosacea. For this skin concern, we suggest reaching out a dermatologist to find out which products/routines are right for you!",NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-09-04T13:58:04Z,cerave,1566425363642830800,1566425363642830850,"@RachelFox37 We're so happy to hear that, Rachel! 💙",FALSE,51,,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>",1566265170732671e3,1566265170732670983,1486002093592916e3,1486002093592915968,RachelFox37,,,,NA,FALSE,0,1,FALSE,FALSE,en,NA,,,"@RachelFox37 We're so happy to hear that, Rachel! 💙",NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-09-04T13:54:03Z,cerave,1566424355420209200,1566424355420209159,@Leisha_17 We recommend checking out our Makeup Removing Cleanser Balm to help dissolve longwear makeup and foundation!,FALSE,119,,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>",1566255419605008400,1566255419605008384,817949607305023500,817949607305023490,Leisha_17,,,,NA,FALSE,0,0,FALSE,FALSE,en,NA,,,@Leisha_17 We recommend checking out our Makeup Removing Cleanser Balm to help dissolve longwear makeup and foundation!,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-09-04T13:51:33Z,cerave,1566423726626832400,1566423726626832389,"@samweyheyy Hi there! CeraVe, a brand of L’Oréal, does not test on animals. At L’Oréal, we care for animal welfare and we are for a world without animal testing. For more information, please click here: https://t.co/7jxrJbv1Fi",FALSE,226,,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>",1566245947310346200,1566245947310346241,1162214352776155100,1162214352776155137,samweyheyy,,,,NA,FALSE,0,17,FALSE,FALSE,en,FALSE,,,"@samweyheyy Hi there! CeraVe, a brand of L’Oréal, does not test on animals. At L’Oréal, we care for animal welfare and we are for a world without animal testing. For more information, please click here: https://t.co/7jxrJbv1Fi",NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-09-04T13:36:02Z,cerave,1566419819917938700,1566419819917938689,"@LibertyAmber2 Our products are developed to maintain the highest standards for both efficacy and safety. We evaluate our formulations on an ongoing basis &amp; we are attentive to the personal preferences of our consumers. Therefore, we are working to remove parabens from our products over time.",FALSE,297,,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>",1566213893529157600,1566213893529157632,1425094940334379e3,1425094940334379008,LibertyAmber2,,,,NA,FALSE,0,0,FALSE,FALSE,en,NA,,,"@LibertyAmber2 Our products are developed to maintain the highest standards for both efficacy and safety. We evaluate our formulations on an ongoing basis &amp; we are attentive to the personal preferences of our consumers. Therefore, we are working to remove parabens from our products over time.",NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
